
sequence,milliseconds
DP02418,0:00:00.031971
DP02448,0:00:00.014657
DP02567,0:00:00.052469
DP02585,0:00:00.009521
DP02601,0:00:00.018525
DP02606,0:00:00.007513
DP02612,0:00:00.027784
DP02681,0:00:00.007625
DP02691,0:00:00.020893
DP02718,0:00:00.007856
DP02728,0:00:00.009959
DP02757,0:00:00.009666
DP02759,0:00:00.007592
DP02767,0:00:00.024650
DP02797,0:00:00.007045
DP02818,0:00:00.019994
DP02821,0:00:00.008217
DP02844,0:00:00.024142
DP02845,0:00:00.012376
DP02874,0:00:00.010246
DP02959,0:00:00.021508
DP03053,0:00:00.009810
DP03058,0:00:00.020016
DP03101,0:00:00.013915
DP03132,0:00:00.027303
DP03221,0:00:00.019107
DP03222,0:00:00.009663
DP03283,0:00:00.016459
