
sequence,milliseconds
DP02418,0:00:00.307921
DP02448,0:00:00.129290
DP02567,0:00:00.400033
DP02585,0:00:00.127132
DP02601,0:00:00.253134
DP02606,0:00:00.138318
DP02612,0:00:00.414182
DP02681,0:00:00.084561
DP02691,0:00:00.259621
DP02718,0:00:00.129930
DP02728,0:00:00.156296
DP02757,0:00:00.144084
DP02759,0:00:00.143318
DP02767,0:00:00.261769
DP02797,0:00:00.037769
DP02818,0:00:00.164256
DP02821,0:00:00.126867
DP02844,0:00:00.263465
DP02845,0:00:00.086981
DP02874,0:00:00.094016
DP02959,0:00:00.203670
DP03053,0:00:00.137850
DP03058,0:00:00.161717
DP03101,0:00:00.161936
DP03132,0:00:00.192819
DP03221,0:00:00.122667
DP03222,0:00:00.034679
DP03283,0:00:00.051276
DP03379,0:00:00.290285
DP03400,0:00:00.068611
DP03536,0:00:00.150985
DP03555,0:00:00.051184
DP03577,0:00:00.038182
DP03579,0:00:00.025248
DP03586,0:00:00.017784
DP03589,0:00:00.042344
DP03606,0:00:00.015954
DP03622,0:00:00.013569
DP03633,0:00:00.024488
DP03648,0:00:00.009585
